Word,Frequency,PMI,R_Entropy,L_Entropy
之,5466,80,8.801046073890472,9.40697929000412
以,3486,80,8.946313526891512,8.548137313391166
不,3336,80,7.643105988989834,8.426909868453297
为,2873,80,8.970737760201912,8.214464080043573
其,2245,80,8.406715854505467,8.357946194295538
而,2169,80,8.72802394702817,8.794542289543214
人,2163,80,7.645135685494618,7.806267566375276
曰,1768,80,6.9439549131031475,7.646747422667146
者,1629,80,7.504414862681948,8.620159129430979
于,1587,80,8.298709862284007,8.587684441561777
有,1514,80,8.376302642850474,7.956276079938499
也,1446,80,6.247932324168044,7.99855002983834
年,1331,80,5.968459390144025,4.784136004342662
大,1229,80,6.833995342209561,7.911619958467056
子,1228,80,7.8884729142383065,6.442515623886581
所,1162,80,7.461137973069386,6.958642655259476
中,1111,80,7.1130723559150635,7.414240848649495
事,1067,80,7.313610746619052,7.016709457792948
州,993,80,6.333426097322225,7.559708470489564
军,976,80,7.486706866467998,5.633729062275684
王,965,80,8.052995818944963,7.085403333982052
十,965,80,4.814949341109008,5.260165685594497
将,921,80,5.9449260083229305,6.906863030278266
无,913,80,7.500894039167953,7.82541528136327
与,912,80,8.153095845345373,7.990076802540739
下,893,80,7.560856712810407,5.212416514619776
上,885,80,7.383339607673124,7.636763224029331
自,877,80,7.862632914054132,7.461371822714031
言,875,80,7.222824389140538,7.345824943457026
至,857,80,7.580714733606415,7.6206350347703795
时,844,80,7.6052539695766885,6.7749649822581315
使,820,80,7.561227163241707,6.859314895812389
一,802,80,7.256993353599146,7.353519040510893
太,802,80,4.25302651164317,6.929111359523562
书,787,80,7.159981781192138,5.370551422444972
帝,779,80,7.251470791067121,5.513936154982151
知,757,80,7.112079918153819,6.878251738370217
得,755,80,7.499620255285659,6.552836847417663
后,740,80,7.716125795799609,5.912300685518283
公,738,80,7.100751989382809,7.121634349415359
可,721,80,6.844077950150887,5.278693547761095
士,706,80,6.79921490009072,5.38798591278608
是,691,80,7.4617805694101005,4.847173801232265
三,685,80,5.595538030277617,7.3435577002917105
臣,677,80,7.2623493960683,6.030214838902367
二,660,80,4.575211456648209,7.302639874944475
天,648,80,4.506764537512763,7.104525365463862
兵,642,80,7.209926103090152,7.223186103856065
行,639,80,7.035298714476997,7.366999629071828
日,629,80,7.26654299071259,6.484976253834952
乃,625,80,7.592014015646694,7.01229762376246
相,619,80,7.355707781850945,6.4636041570109874
出,617,80,6.8345323840189085,7.6470849781552666
文,612,80,6.950743309925379,7.1021443208462065
史,592,80,6.788540345920678,3.206677588042208
官,590,80,7.336761095403453,6.977627697507266
国,581,80,6.406614077741381,7.058533282301668
及,561,80,7.995649053872191,6.931569542006781
见,554,80,7.485965450631313,7.1298292746032885
然,552,80,6.775565515159543,6.871652528535318
此,546,80,7.286285065205101,5.318972421317019
能,538,80,7.377467583744392,4.606018950390184
进,536,80,5.678910554931884,6.5538358905445095
从,523,80,6.516784324685079,7.025986866316143
皆,522,80,7.59749806033303,6.883135568931117
何,509,80,6.436886809902656,6.4770970094739
故,508,80,7.145432960421401,5.9299598991746665
未,505,80,5.959437944678524,7.273123237595473
宗,502,80,6.731451970947149,5.574307012790462
入,495,80,6.808488538415722,7.228044950422019
数,483,80,5.511013691692729,7.329083888588507
诸,478,80,5.805745062749954,7.225362328706782
如,476,80,6.6174074182557385,6.85658309051563
安,465,80,6.623503012706429,6.879768399871284
南,464,80,6.905675607663671,6.130885703345932
家,461,80,6.714655496857639,6.374298570290733
令,460,80,7.6962191467512575,6.956866468201253
复,460,80,7.417912863178353,6.915919621787978
欲,457,80,7.556580753790988,6.798861975819561
民,452,80,7.1082849309446345,6.913016515939241
祖,452,80,7.079103437402046,3.2918078553959353
先,450,80,5.6703089971823095,7.084221758196415
则,447,80,7.64752655736324,6.850067406815437
请,439,80,7.416448958449817,6.874149759291826
在,436,80,7.5750254896969365,7.009875868776717
平,435,80,6.793130526378476,6.959261650290012
又,434,80,7.274197290383707,6.034944702745726
道,434,80,6.813038261652302,6.855576434399683
山,434,80,6.294502034371203,7.268996291638539
城,430,80,6.52290436348022,7.065669240614204
世,424,80,5.935950834362589,6.389576438622051
部,424,80,5.088237988354267,4.455731128487418
守,422,80,6.670021430669935,5.776320084260591
矣,414,80,4.450162589830066,7.199810746912254
今,411,80,7.239965905886288,5.671659388246352
遂,410,80,7.266671871668772,6.689240592082842
吾,406,80,7.020391368231132,6.3343663173166025
闻,403,80,6.264813251493781,6.921701120489554
明,403,80,5.614200507715965,6.781079987009612
君,399,80,6.345842073881784,6.637869928840546
主,398,80,6.27687550841512,5.97183472973742
用,390,80,6.627819056047944,6.721331580200246
卒,390,80,5.652992807242758,5.568366725468785
元,390,80,5.598791793328291,6.776653412446239
死,385,80,5.498866321006569,7.049680224874418
五,384,80,4.5108514311635,6.295151658372881
余,381,80,5.956163650867866,4.056802863794724
即,381,80,5.830898115268427,5.020061275592648
百,381,80,5.447841351840439,5.81095328341085
朝,380,80,5.444994319850699,6.3949640615163155
命,378,80,7.294925724626048,6.5951555697123645
都,375,80,5.382033304226957,6.216261102590804
学,374,80,4.768734467142634,6.273593493162212
当,371,80,6.743095013335401,6.839383422373836
多,370,80,6.985736373914041,6.8476043152077715
名,369,80,6.668140282101811,6.383041021041281
师,367,80,6.657520822092959,5.290333438256547
谓,366,80,6.9757611073874575,6.0394288492178205
东,366,80,6.309786615405683,6.372951628123129
诏,365,80,7.171839055622725,5.464468320933244
归,365,80,6.639905864699779,6.984523690969464
夫,365,80,6.5732054577769965,3.709225052216851
长,363,80,5.859433330950699,7.045826093175277
高,361,80,5.136534500367748,6.8106671475637235
生,358,80,6.657041792716769,5.685374456001902
方,357,80,7.338108048434827,6.374891338945103
亦,357,80,6.730790806856554,7.099047072936489
吏,355,80,5.887473597286482,6.6341939327727575
尚,351,80,3.0103428244023145,5.5359797903035926
非,347,80,7.137222688121198,6.34919561769977
迁,347,80,6.757557849312204,4.843855671191673
司,347,80,5.373112247901247,5.434634405700292
武,345,80,6.218813495017828,6.320203741833999
马,341,80,7.22214439497707,5.778311296654298
西,340,80,6.8928895828018515,6.112293620039906
四,339,80,4.61306985072517,6.435670515550287
居,337,80,6.70164518120607,6.575209625956891
郎,336,80,4.317511460437711,3.772351156080295
去,335,80,5.935668332766032,6.599193402075919
已,333,80,6.692831871491372,6.183755236662703
必,332,80,6.771211225915586,6.3787821242764045
还,328,80,6.58745496846019,6.499389246500044
阳,327,80,6.409338953823114,6.008430615589501
贼,320,80,6.976918818224031,6.338423571163533
御,320,80,2.5543260898199405,5.804971505544378
同,319,80,6.396334548818822,6.434926696263097
侍,319,80,3.825195570774094,5.103994630572625
初,318,80,5.971022024994894,6.067090264791326
河,317,80,5.0957824607230044,6.634036074087254
父,314,80,6.651396094828746,6.230094832954169
万,314,80,5.723481190083628,5.869257759117623
少,313,80,6.214743680436618,6.666366762831394
字,312,80,6.578742853670309,6.158443775538656
正,312,80,6.472182569564346,6.185061750133212
德,311,80,6.712831452926427,6.115549431306032
功,310,80,5.982327816027856,5.8455000288386945
法,304,80,6.1524165064086525,6.301480360692735
千,304,80,4.898612999023005,5.27094027848765
因,303,80,7.085735271288245,6.547359526246382
右,299,80,5.884986932923136,4.187530012704655
政,298,80,5.62220716297675,5.93684298593047
成,296,80,6.1955540675232825,6.786213218140236
召,296,80,6.075175742129147,6.38530985200655
府,293,80,6.631200865809619,6.040952735726163
门,292,80,6.528524387698411,6.500107624670672
既,290,80,6.384510763335585,6.595399525600192
