id,pred
2,B
16,C
29,C
32,B
41,B
45,B
47,D
48,C
52,D
59,D
61,C
73,B
79,A
92,C
105,D
113,D
114,B
123,C
137,D
144,B
153,A
157,D
174,B
179,C
201,A
202,B
210,D
211,C
220,B
226,C
236,C
245,C
254,B
255,C
256,D
258,D
263,C
268,B
276,D
300,A
334,D
335,B
344,C
352,C
354,D
364,D
390,B
391,D
404,A
418,D
423,B
439,B
441,D
443,D
447,B
490,C
500,D
503,D
520,C
531,B
536,B
541,B
571,A
576,D
601,B
602,D
607,C
613,D
632,B
634,B
648,D
650,C
684,C
696,B
704,D
709,C
737,D
739,A
742,B
766,C
772,A
786,A
813,D
820,C
825,B
838,A
842,D
850,B
851,C
863,D
888,D
896,D
899,D
918,D
941,D
953,C
960,C
963,C
981,B
982,C
985,A
999,C
1015,C
1027,D
1037,D
1049,C
1060,B
1062,D
1071,B
1074,A
1086,A
1095,D
1101,C
1105,D
1110,D
1111,D
1123,D
1133,D
1139,B
1140,D
1145,D
1153,D
1171,D
1177,D
1183,B
1188,B
1196,B
1199,D
1221,B
1229,C
1230,D
1241,D
1256,C
1257,A
1260,D
1271,B
1272,B
1277,A
1301,D
1325,B
1326,D
1336,C
1339,A
1367,D
1372,A
1378,D
1385,B
1389,A
1399,D
1403,C
1423,C
1436,D
1462,A
1470,D
1491,C
1501,D
1511,B
1537,C
1576,D
1579,A
1584,B
1591,D
1601,B
1618,C
1642,B
1646,D
1654,D
1656,B
1695,B
1706,D
1709,B
1711,B
1720,B
1728,B
1736,B
1740,B
1747,C
1754,A
1768,C
1778,B
1796,C
1809,D
1814,A
1815,D
1822,D
1833,C
1836,C
1844,D
1852,D
1854,B
1859,C
1885,D
1903,C
1906,C
1909,B
1924,D
1926,B
1932,C
1935,C
1937,D
1947,D
1953,D
1958,C
1965,D
1973,C
1980,C
1981,D
1987,A
1990,A
2000,A
2007,D
2017,C
2025,C
2036,A
2038,B
2049,D
2056,B
2061,D
2063,C
2064,B
2065,C
2088,D
2091,B
2104,D
2122,D
2123,A
2139,A
2142,D
2153,B
2164,C
2169,D
2173,C
2182,D
2193,C
2203,C
2224,B
2229,C
2234,B
2256,B
2259,C
2281,C
2284,B
2307,C
2371,B
2378,D
2392,D
2404,D
2409,D
2411,C
2414,B
2415,A
2433,D
2435,D
2441,C
2445,B
2450,D
2452,B
2471,D
2474,D
2478,D
2481,C
2482,C
2500,A
2504,D
2511,C
2512,D
2525,B
2526,D
2530,D
2564,B
2569,B
2591,B
2593,B
2595,C
2606,B
2613,C
2627,D
2628,B
2644,C
2653,C
2668,D
2676,A
2696,D
2714,D
2719,D
2733,D
2736,D
2744,C
2750,C
2754,D
2755,B
2757,D
2767,B
2782,C
2787,B
2807,A
2808,C
2816,D
2838,B
2840,D
2847,D
2855,D
2865,D
2866,D
2878,A
2902,D
2903,D
2904,B
2909,A
2914,C
2915,D
2932,D
2935,B
2941,D
2943,B
2955,B
2967,D
2974,D
2979,A
2987,D
3000,D
3003,A
3006,D
3048,B
3050,B
3052,C
3058,C
3099,B
3111,D
3129,D
3135,A
3161,D
3165,D
3178,D
3199,D
3220,D
3229,C
3232,C
3241,A
3245,B
3253,D
3263,D
3264,C
3274,D
3290,B
3296,B
3316,C
3322,D
3325,B
3330,D
3347,A
3383,A
3419,A
3430,D
3463,C
3465,B
3492,D
3500,D
3516,C
3534,C
3582,C
3595,B
3596,B
3603,B
3605,C
3611,D
3627,D
3639,B
3650,D
3652,C
3677,B
3690,D
3695,B
3713,D
3723,B
3728,C
3738,C
3745,B
3748,D
3766,D
3769,C
3770,D
3783,C
3825,C
3837,C
3840,D
3842,B
3843,D
3858,C
3871,C
3874,C
3884,C
3886,A
3906,C
3907,A
3918,D
3922,D
3929,A
3938,A
3946,B
3960,D
3981,C
4027,B
4063,D
4064,C
4080,B
4087,B
4089,B
4093,C
4104,D
4111,A
4124,C
4136,B
4140,D
4155,D
4173,C
4175,B
4179,B
4183,C
4189,C
4191,B
4197,B
4208,C
4215,D
4216,D
4218,C
4225,C
4235,D
4240,D
4242,D
4266,B
4269,D
4297,D
4302,D
4304,B
4331,D
4337,A
4347,D
4371,D
4382,B
4404,B
4415,C
