id,pred
10,B
23,C
31,D
32,C
33,D
35,A
41,B
49,B
80,A
83,B
93,A
98,A
132,C
143,C
157,D
167,C
168,A
222,A
227,D
229,D
253,D
258,D
272,D
280,B
286,A
298,C
303,B
304,A
325,D
335,B
341,C
369,C
375,B
402,C
408,B
417,A
452,D
457,D
492,A
494,C
500,B
512,B
533,B
538,D
554,D
560,A
563,C
588,C
598,D
600,D
607,B
614,D
626,A
627,C
631,B
634,B
650,B
651,B
671,B
674,B
682,C
687,C
688,C
695,D
698,A
701,A
707,A
719,D
723,D
739,C
774,C
777,D
796,A
799,B
805,C
815,C
834,C
873,A
903,A
908,A
927,B
933,B
934,D
961,B
971,B
979,B
992,D
995,A
1005,D
1030,C
1042,B
1048,A
1049,D
1050,A
1060,B
1065,D
1076,A
1089,D
1126,B
1131,C
1141,A
1142,A
1145,B
1172,C
1173,C
1177,D
1186,B
1188,C
1216,B
1236,A
1249,D
1258,A
1269,B
1284,D
1296,B
1305,B
1308,B
1311,B
1325,B
1331,D
1364,D
1375,B
1381,B
1384,B
1434,B
1435,A
1455,A
1468,B
1470,A
1483,A
1491,D
1496,C
1509,B
1515,A
1519,C
1520,B
1533,B
1548,C
1562,D
1569,"的一位道士注视着欧阳玄对张贯之说：“这孩子神态凝重，目光逼人，将来必定会以文章冠绝天下，成为国家栋梁。”
D:欧阳玄学识渊博，经史百家之书，无不研究。延祐元年，朝廷下令设科举取士，欧阳玄以《尚书》参加考试。

A
B
D
C"
1573,A
1584,D
1598,C
1609,D
1613,A
1618,C
1622,D
1632,B
1636,A
1638,D
1646,D
1674,D
1680,B
1682,A
1685,C
1690,B
1720,B
1747,A
1749,B
1762,B
1770,B
1791,B
1819,D
1826,C
1855,A
1875,C
1882,D
1894,A
1910,B
1917,A
1919,D
1923,D
1940,D
1943,D
1971,A
1975,B
1987,A
2001,A
2034,A
2043,B
2058,B
2063,C
2076,C
2091,B
2094,A
2096,C
2099,B
2103,C
2141,D
2153,B
2156,C
2157,B
2164,C
2169,B
2174,B
2184,C
2220,B
2224,B
2231,B
2240,B
2256,B
2261,C
2263,B
2265,A
2267,A
2270,A
2282,B
2283,B
2303,B
2327,A
2339,B
2345,C
2352,A
2353,A
2384,B
2386,A
2416,C
2433,B
2434,C
2437,D
2441,C
2443,B
2450,A
2463,B
2465,D
2469,D
2470,A
2473,B
2477,D
2486,D
2489,B
2492,B
2493,A
2512,B
2514,A
2524,B
2533,C
2547,A
2552,D
2557,A
2562,D
2565,D
2571,B
2588,A
2599,A
2601,B
2610,D
2617,A
2618,B
2619,D
2621,D
2647,A
2652,C
2654,B
2657,B
2660,A
2662,B
2663,A
2677,B
2692,C
2700,D
2703,B
2714,D
2719,B
2731,A
2772,C
2774,B
2798,B
2799,A
2802,C
2811,A
2828,A
2830,D
2832,B
2836,D
2838,B
2839,B
2842,C
2865,B
2880,C
2889,A
2900,B
2907,C
2910,B
2912,C
2913,D
2917,D
2929,C
2931,D
2932,A
2941,D
2987,D
2990,D
2995,C
3023,B
3034,D
3035,B
3037,C
3052,C
3058,C
3061,D
3073,A
3098,D
3107,D
3139,D
3141,A
3143,D
3149,A
3152,C
3159,A
3169,C
3170,B
3185,C
3190,A
3192,C
3206,A
3227,C
3235,D
3239,A
3246,D
3257,D
3271,A
3309,A
3310,D
3318,B
3340,A
3347,A
3353,B
3360,B
3361,B
3368,A
3374,C
3375,D
3379,C
3388,A
3396,A
3406,B
3413,A
3436,A
3441,D
3462,B
3478,B
3479,A
3493,D
3503,A
3511,B
3518,D
3525,C
3583,A
3584,D
3613,A
3617,B
3622,A
3629,D
3631,A
3633,C
3638,B
3643,D
3651,B
3658,D
3663,C
3675,C
3676,A
3678,D
3687,B
3692,D
3730,C
3736,D
3774,B
3799,B
3800,D
3809,D
3811,C
3816,A
3820,A
3822,B
3842,A
3850,D
3872,C
3911,A
3915,B
3919,B
3924,B
3937,A
3941,A
3947,B
3965,B
3970,B
3972,A
3977,B
3990,D
3992,B
3997,A
4022,C
4037,B
4050,D
4068,D
4075,A
4081,B
4082,A
4084,B
4091,B
4103,"不要有任何额外输出的要求，以下是对应选项的字符：

A"
4113,C
4115,B
4121,D
4124,B
4161,D
4165,A
4176,C
4180,A
4186,C
4199,B
4200,C
4201,D
4203,D
4210,B
4211,D
4216,D
4220,C
4243,C
4256,C
4257,C
4260,C
4262,D
4270,D
4282,D
4285,C
4292,A
4309,C
4316,C
4334,D
4358,C
4370,C
4373,B
4378,C
4380,D
4384,C
4386,B
4390,B
4395,A
4405,A
