A,B,C,D,id
0.99807259,0.00109782,0.000552018,0.000277572,1
0.001922361,0.995807504,0.001241169,0.001028966,2
0.088314241,0.01534671,0.891942143,0.004396906,3
0.021080111,0.954158767,0.01747603,0.007285093,4
0.01485772,0.003529018,0.978498916,0.003114347,5
0.991138532,0.004311796,0.001586221,0.002963451,6
0.142765113,0.007566273,0.028112114,0.8215565,7
0.139386512,0.853845956,0.003278057,0.003489474,8
0.584094288,0.047945382,0.07425926,0.29370107,9
0.122952958,0.801753952,0.065811976,0.009481114,10
0.008176057,0.945023638,0.041521445,0.005278859,11
0.320534056,0.36321267,0.1826348,0.133618474,12
0.005540048,0.991781802,0.0010909,0.00158725,13
0.94535695,0.002826566,0.050102085,0.001714399,14
0.948320358,0.007240515,0.039141854,0.005297274,15
0.087513793,0.015207617,0.883857916,0.013420675,16
0.891894417,0.03248725,0.050317237,0.025301096,17
0.298059496,0.523110706,0.169829181,0.009000617,18
0.769825524,0.220558692,0.002955488,0.006660295,19
0.077702361,0.475984724,0.271207921,0.175104994,20
0.023829553,0.008766403,0.74131557,0.226088475,21
0.168626248,0.66692975,0.0796534,0.084790603,22
0.060284301,0.163869741,0.041432754,0.734413204,23
0.089652851,0.455294744,0.42770983,0.027342575,24
0.757670031,0.010807583,0.000446082,0.231076304,25
0.025919905,0.972637323,0.000833194,0.000609578,26
0.255797299,0.016352574,0.69532915,0.032520977,27
0.197477316,0.197477316,0.068246334,0.536799033,28
0.786420909,0.008736348,0.198838345,0.006004398,29
0.733904197,0.06024252,0.09330544,0.112547844,30
0.230496294,0.009513721,0.004221688,0.755768297,31
0.059055758,0.014026972,0.92378743,0.00312984,32
0.03702658,0.00236703,0.00567821,0.95492818,33
0.029220484,0.967649433,0.00073152,0.002398563,34
0.706886151,0.178728809,0.039879788,0.074505252,35
0.575817887,0.289539417,0.034580552,0.100062145,36
0.014421871,0.088344649,0.004984065,0.892249415,37
0.990406701,0.007561848,0.001234438,0.000797013,38
0.071527481,0.927582554,0.000188734,0.000701231,39
0.61025981,0.028542235,0.347715558,0.013482397,40
0.05257251,0.931869966,0.010352141,0.005205383,41
0.027166592,0.025520651,0.899633904,0.047678853,42
0.007081823,0.927535632,0.009679705,0.05570284,43
0.056289793,0.004077619,0.002323357,0.937309231,44
0.100221084,0.212168037,0.541790062,0.145820817,45
0.027337148,0.005056864,0.963667699,0.00393829,46
0.004860262,0.005862595,0.003340406,0.985936738,47
0.197890612,0.013466625,0.369708335,0.418934428,48
0.144800158,0.127785691,0.036611213,0.690802938,49
0.009704129,0.989848064,0.000258606,0.0001892,50
0.603911549,0.126586722,0.134750865,0.134750865,51
0.121009729,0.11367812,0.068949265,0.696362887,52
0.117498098,0.410108636,0.035834895,0.43655837,53
0.969039333,0.010112835,0.014714088,0.006133744,54
0.883242882,0.105488321,0.00717857,0.004090226,55
0.937076572,0.000968279,0.002049846,0.059905303,56
0.434810853,0.141162416,0.205390104,0.218636627,57
0.006683557,0.991927766,0.000484155,0.000904521,58
0.102822242,0.033381495,0.05503678,0.808759483,59
0.006068133,0.900590745,0.08917056,0.004170563,60
0.429331765,0.115553091,0.429331765,0.02578338,61
0.398591177,0.065068221,0.398591177,0.137749425,62
0.343991359,0.642660485,0.003589872,0.009758284,63
0.003817023,0.994232331,0.001494768,0.000455878,64
