question_id,stu1_answer,stu2_answer,stu3_answer,final_answer
1,A,A,A,A
2,A,A,A,A
3,D,D,D,D
4,C,C,C,C
5,A,D,D,D
6,A,A,A,A
7,D,D,B,D
8,D,D,D,D
9,A,A,A,A
10,C,B,A,B
11,A,A,A,A
12,A,A,A,A
13,B,B,A,B
14,D,D,D,D
15,B,B,B,B
16,C,C,C,C
17,A,D,D,D
18,A,A,A,A
19,D,D,D,D
20,A,A,A,A
21,A,A,A,A
22,A,A,A,A
23,A,A,A,A
24,A,A,A,A
25,B,B,B,B
26,C,C,C,C
27,C,C,C,C
28,A,A,A,A
29,A,D,A,A
30,A,A,A,A
31,A,A,A,A
32,A,A,A,A
33,A,A,A,A
34,A,A,A,A
35,B,B,B,B
36,B,B,B,B
37,D,D,D,D
38,A,A,A,A
39,B,B,B,B
40,C,C,C,C
41,D,D,D,D
42,A,A,A,A
43,A,A,A,A
44,A,A,A,A
45,A,A,A,A
46,A,A,A,A
47,A,B,A,A
48,D,D,D,D
49,D,D,D,D
50,C,C,C,C
51,C,C,C,C
52,C,C,C,C
53,A,A,A,A
54,C,A,A,A
55,A,A,A,A
56,A,A,A,A
57,A,A,A,A
58,A,A,A,A
59,A,A,A,A
60,B,B,B,B
61,C,C,C,C
62,B,B,A,B
63,C,D,C,C
64,A,A,A,A
65,B,B,A,B
66,A,D,A,A
67,A,A,A,A
68,A,A,A,A
69,A,A,A,A
70,A,A,A,A
71,A,A,C,A
72,A,A,A,A
73,A,A,A,A
74,B,B,B,B
75,C,C,C,C
76,D,D,D,D
77,B,B,A,B
78,A,A,A,A
79,A,A,A,A
80,A,A,A,A
81,A,A,A,A
82,A,A,A,A
83,A,D,D,D
84,B,B,B,B
85,B,B,B,B
86,A,A,A,A
87,A,A,A,A
88,D,D,D,D
89,D,D,D,D
90,A,A,A,A
91,A,A,A,A
92,A,A,A,A
93,A,A,A,A
94,A,A,A,A
95,A,A,B,A
96,D,D,D,D
97,C,C,C,C
98,D,D,A,D
99,B,B,B,B
100,C,C,C,C
101,A,A,A,A
102,A,A,A,A
103,A,A,A,A
104,A,A,A,A
105,A,A,A,A
106,A,A,A,A
107,A,A,A,A
108,B,B,D,B
109,B,B,B,B
110,B,A,A,A
111,A,B,A,A
112,D,D,D,D
113,C,C,C,C
114,B,B,B,B
115,A,A,A,A
116,A,A,A,A
117,A,A,A,A
118,A,A,B,A
119,B,B,B,B
120,A,A,A,A
121,D,D,D,D
122,B,B,B,B
123,D,D,D,D
124,B,B,B,B
125,B,B,B,B
126,A,A,A,A
127,A,A,A,A
128,A,A,A,A
129,D,D,D,D
130,C,C,C,C
131,C,B,B,B
132,A,A,A,A
133,B,B,B,B
134,B,B,C,B
135,A,A,A,A
136,D,A,A,A
137,A,A,A,A
138,A,A,A,A
139,A,A,A,A
140,A,A,C,A
141,A,C,C,C
142,C,C,C,C
143,C,B,C,C
144,C,C,C,C
145,A,A,A,A
146,B,B,B,B
147,C,D,D,D
148,A,A,A,A
149,A,A,A,A
150,A,A,A,A
151,A,A,A,A
152,A,C,A,A
153,B,B,B,B
154,A,A,A,A
155,C,D,C,C
156,B,B,B,B
157,B,B,B,B
158,A,A,A,A
159,B,A,A,A
160,A,A,A,A
161,A,A,A,A
162,A,A,A,A
163,D,D,D,D
164,C,C,C,C
165,B,B,B,B
166,D,D,D,D
167,D,D,D,D
168,C,C,C,C
169,B,B,B,B
170,C,A,A,A
171,A,A,A,A
172,A,A,A,A
173,A,A,A,A
174,A,C,C,C
175,A,A,A,A
176,B,D,D,D
177,A,A,A,A
178,C,C,C,C
179,D,A,D,D
180,B,B,B,B
181,D,D,D,D
182,A,A,A,A
183,A,A,A,A
184,A,A,A,A
185,A,A,A,A
186,A,A,C,A
187,A,A,A,A
188,C,C,C,C
189,D,D,D,D
190,B,B,B,B
191,C,C,C,C
192,B,A,B,B
193,C,C,A,C
194,A,A,A,A
195,A,A,A,A
196,A,A,A,A
197,A,A,A,A
198,A,B,B,B
199,B,B,B,B
200,C,C,C,C
201,D,B,D,D
202,C,C,C,C
203,A,A,A,A
204,C,C,A,C
205,A,A,A,A
206,A,A,A,A
207,A,A,A,A
208,A,A,A,A
209,A,A,A,A
210,A,A,A,A
211,A,C,C,C
212,C,C,C,C
213,A,A,A,A
214,B,B,B,B
215,C,A,C,C
216,C,C,C,C
217,D,D,D,D
218,A,A,A,A
219,A,A,A,A
220,A,A,A,A
221,A,A,A,A
222,A,A,A,A
223,A,A,B,A
224,C,A,A,A
225,B,B,B,B
226,D,D,D,D
227,C,C,C,C
228,B,B,B,B
229,D,D,D,D
230,D,A,A,A
231,A,A,A,A
232,A,A,A,A
233,A,A,A,A
234,A,A,A,A
235,A,A,A,A
236,A,B,B,B
237,C,C,C,C
238,C,A,A,A
239,D,D,D,D
240,A,A,A,A
241,D,D,D,D
242,D,D,D,D
243,A,A,A,A
244,A,A,A,A
245,A,A,A,A
246,A,A,A,A
247,A,A,A,A
248,A,A,A,A
249,B,B,B,B
250,B,C,C,C
251,D,D,D,D
252,D,D,D,D
253,C,C,C,C
254,A,A,A,A
255,A,A,A,A
256,A,A,A,A
257,A,A,A,A
258,A,A,A,A
259,A,A,A,A
260,A,A,A,A
261,A,A,A,A
262,A,A,B,A
263,D,D,D,D
264,A,A,A,A
265,A,A,A,A
266,C,C,C,C
267,B,B,A,B
268,A,A,A,A
269,A,A,A,A
270,A,A,A,A
271,A,A,A,A
272,A,A,A,A
273,A,A,A,A
274,A,A,A,A
275,A,A,A,A
276,A,A,D,A
277,A,C,C,C
278,C,C,C,C
279,B,B,B,B
280,C,C,C,C
281,A,A,A,A
282,A,A,A,A
283,A,A,A,A
284,A,A,A,A
285,A,A,A,A
286,A,A,A,A
287,A,A,A,A
288,A,A,A,A
289,A,A,A,A
290,A,A,A,A
291,D,D,D,D
292,D,D,D,D
293,C,C,A,C
294,A,A,A,A
295,B,A,A,A
296,A,A,A,A
297,A,A,A,A
298,A,A,A,A
299,A,A,A,A
300,A,A,A,A
301,A,A,A,A
302,A,A,A,A
303,A,A,A,A
304,A,D,D,D
305,D,D,D,D
306,B,B,C,B
307,C,C,A,C
308,C,C,C,C
309,C,A,A,A
310,A,A,A,A
311,A,A,A,A
312,A,A,A,A
313,A,A,A,A
314,A,A,A,A
315,A,A,A,A
316,A,A,A,A
317,A,A,A,A
318,A,D,D,D
319,C,A,C,C
320,B,B,C,B
321,A,A,A,A
322,A,A,A,A
323,A,A,A,A
324,A,A,A,A
325,A,A,A,A
326,A,A,A,A
327,A,A,A,A
328,A,A,A,A
329,A,A,A,A
330,A,A,A,A
331,A,A,A,A
332,A,A,A,A
333,C,C,C,C
334,B,B,B,B
335,C,C,C,C
336,A,A,A,A
337,A,A,A,A
338,A,A,A,A
339,A,A,A,A
340,A,A,A,A
341,A,A,A,A
342,A,A,A,A
343,A,A,A,A
344,A,A,A,A
345,A,A,A,A
346,C,C,C,C
347,D,D,D,D
348,D,D,D,D
349,D,D,D,D
350,D,D,D,D
351,A,A,A,A
352,A,A,A,A
353,A,A,A,A
354,A,A,A,A
355,A,A,A,A
356,A,A,A,A
357,A,A,A,A
358,A,A,A,A
359,A,B,B,B
360,A,A,A,A
361,D,D,D,D
362,C,C,C,C
363,B,B,B,B
364,D,A,A,A
365,A,A,A,A
366,A,A,A,A
367,A,A,A,A
368,A,A,A,A
369,A,A,A,A
370,A,A,A,A
371,A,A,A,A
372,A,C,D,D
373,C,C,C,C
374,A,A,B,A
