id,pred
10,B
23,D
31,D
32,C
33,A
35,A
41,D
49,D
80,A
83,B
93,A
98,A
132,B
143,D
157,B
167,C
168,A
222,A
227,D
229,C
253,D
258,D
272,B
280,B
286,B
298,C
303,C
304,A
325,D
335,A
341,B
369,C
375,B
402,C
408,B
417,B
452,D
457,A
492,B
494,C
500,D
512,A
533,B
538,D
554,D
560,B
563,B
588,D
598,D
600,C
607,C
614,A
626,A
627,B
631,B
634,B
650,C
651,D
671,D
674,B
682,C
687,A
688,C
695,A
698,B
701,A
707,A
719,D
723,D
739,A
774,A
777,A
796,A
799,B
805,C
815,D
834,A
873,A
903,A
908,C
927,B
933,B
934,D
961,B
971,B
979,A
992,A
995,D
1005,D
1030,A
1042,B
1048,D
1049,C
1050,C
1060,B
1065,D
1076,C
1089,D
1126,B
1131,C
1141,A
1142,A
1145,C
1172,C
1173,C
1177,D
1186,A
1188,B
1216,B
1236,B
1249,A
1258,D
1269,C
1284,B
1296,B
1305,C
1308,A
1311,B
1325,B
1331,A
1364,D
1375,B
1381,D
1384,B
1434,B
1435,D
1455,A
1468,C
1470,D
1483,C
1491,D
1496,A
1509,B
1515,B
1519,A
1520,D
1533,A
1548,B
1562,D
1569,C
1573,A
1584,C
1598,C
1609,C
1613,A
1618,B
1622,B
1632,B
1636,A
1638,D
1646,D
1674,A
1680,B
1682,A
1685,C
1690,B
1720,B
1747,A
1749,B
1762,C
1770,B
1791,A
1819,D
1826,C
1855,B
1875,D
1882,D
1894,C
1910,B
1917,C
1919,D
1923,C
1940,D
1943,C
1971,A
1975,B
1987,A
2001,C
2034,D
2043,B
2058,D
2063,C
2076,C
2091,B
2094,D
2096,C
2099,B
2103,C
2141,D
2153,B
2156,C
2157,A
2164,C
2169,A
2174,D
2184,C
2220,C
2224,B
2231,B
2240,C
2256,B
2261,C
2263,A
2265,C
2267,D
2270,B
2282,B
2283,B
2303,C
2327,A
2339,C
2345,C
2352,A
2353,B
2384,C
2386,C
2416,D
2433,A
2434,D
2437,D
2441,B
2443,B
2450,B
2463,C
2465,B
2469,D
2470,C
2473,B
2477,D
2486,D
2489,B
2492,C
2493,A
2512,B
2514,B
2524,B
2533,C
2547,C
2552,D
2557,A
2562,D
2565,D
2571,D
2588,D
2599,A
2601,B
2610,D
2617,A
2618,B
2619,B
2621,D
2647,D
2652,C
2654,B
2657,C
2660,D
2662,A
2663,A
2677,A
2692,C
2700,D
2703,D
2714,D
2719,A
2731,A
2772,C
2774,B
2798,A
2799,A
2802,C
2811,A
2828,D
2830,D
2832,D
2836,A
2838,B
2839,C
2842,C
2865,B
2880,C
2889,A
2900,B
2907,C
2910,B
2912,C
2913,D
2917,D
2929,C
2931,D
2932,A
2941,D
2987,D
2990,A
2995,A
3023,B
3034,D
3035,B
3037,C
3052,C
3058,B
3061,C
3073,D
3098,D
3107,D
3139,D
3141,B
3143,C
3149,C
3152,C
3159,A
3169,C
3170,C
3185,A
3190,D
3192,C
3206,D
3227,B
3235,D
3239,C
3246,B
3257,A
3271,A
3309,A
3310,D
3318,A
3340,B
3347,C
3353,D
3360,B
3361,B
3368,C
3374,A
3375,C
3379,B
3388,C
3396,A
3406,D
3413,B
3436,A
3441,B
3462,A
3478,B
3479,A
3493,C
3503,A
3511,C
3518,D
3525,D
3583,D
3584,D
3613,C
3617,B
3622,B
3629,D
3631,A
3633,A
3638,B
3643,C
3651,B
3658,A
3663,D
3675,C
3676,B
3678,D
3687,A
3692,D
3730,C
3736,D
3774,A
3799,B
3800,A
3809,D
3811,C
3816,A
3820,B
3822,B
3842,D
3850,D
3872,C
3911,B
3915,B
3919,B
3924,B
3937,C
3941,A
3947,B
3965,D
3970,B
3972,A
3977,B
3990,D
3992,B
3997,A
4022,B
4037,A
4050,B
4068,D
4075,B
4081,C
4082,B
4084,B
4091,B
4103,C
4113,C
4115,B
4121,B
4124,C
4161,D
4165,B
4176,C
4180,C
4186,C
4199,B
4200,C
4201,D
4203,D
4210,C
4211,D
4216,D
4220,C
4243,C
4256,C
4257,B
4260,C
4262,D
4270,D
4282,D
4285,D
4292,C
4309,C
4316,B
4334,B
4358,C
4370,B
4373,D
4378,C
4380,D
4384,C
4386,C
4390,B
4395,A
4405,C
